C  6      101.932A   -0.056    0.1104
Ca B      101.932A   -0.056    0.1104
#
C  6      101.995A   -0.011    0.1226
Ca B      101.995A   -0.011    0.1226
#
C  6      102.067A    0.038    0.1373
Ca B      102.067A    0.038    0.1373
#
C  6      102.150A    0.092    0.1552
Ca B      102.150A    0.092    0.1552
#
C  6      102.246A    0.149    0.1772
Ca B      102.246A    0.149    0.1772
#
C  6      102.358A    0.211    0.2042
Ca B      102.358A    0.211    0.2042
#
C  6      102.489A    0.277    0.2378
Ca B      102.489A    0.277    0.2378
#
C  6      102.645A    0.348    0.2798
Ca B      102.645A    0.348    0.2798
#
C  6      102.831A    0.423    0.3331
Ca B      102.831A    0.423    0.3331
#
C  6      103.056A    0.505    0.4018
Ca B      103.056A    0.505    0.4018
#
C  6      103.333A    0.592    0.4910
Ca B      103.333A    0.592    0.4910
#
C  6      103.678A    0.686    0.6102
Ca B      103.678A    0.686    0.6102
#
C  6      104.116A    0.789    0.7728
Ca B      104.116A    0.789    0.7728
#
C  6      104.685A    0.901    1.0000
Ca B      104.685A    0.901    1.0000
#
C  6      105.442A    1.024    1.3287
Ca B      105.442A    1.024    1.3287
#
C  6      106.482A    1.162    1.8250
Ca B      106.482A    1.162    1.8250
#
C  6      107.972A    1.318    2.6141
Ca B      107.972A    1.318    2.6141
#
C  6      110.222A    1.498    3.9576
Ca B      110.222A    1.498    3.9576
#
C  6      113.877A    1.712    6.4762
Ca B      113.877A    1.712    6.4762
#
C  6      120.505A    1.976   11.9049
Ca B      120.505A    1.976   11.9049
#
C  6      134.965A    2.324   26.5163
Ca B      134.965A    2.324   26.5163
#
C  6      182.203A    2.832   85.3753
Ca B      182.203A    2.832   85.3753
#
C  6      231.369A   -0.475    0.0421
Ca B      231.369A   -0.475    0.0421
#
C  6      231.696A   -0.428    0.0470
Ca B      231.696A   -0.428    0.0470
#
C  6      232.069A   -0.376    0.0528
Ca B      232.069A   -0.376    0.0528
#
C  6      232.499A   -0.321    0.0600
Ca B      232.499A   -0.321    0.0600
#
C  6      232.996A   -0.262    0.0688
Ca B      232.996A   -0.262    0.0688
#
C  6      233.577A   -0.199    0.0795
Ca B      233.577A   -0.199    0.0795
#
C  6      234.261A   -0.131    0.0929
Ca B      234.261A   -0.131    0.0929
#
C  6      235.074A   -0.059    0.1096
Ca B      235.074A   -0.059    0.1096
#
C  6      236.052A    0.018    0.1309
Ca B      236.052A    0.018    0.1309
#
C  6      237.243A    0.100    0.1583
Ca B      237.243A    0.100    0.1583
#
C  6      238.715A    0.189    0.1942
Ca B      238.715A    0.189    0.1942
#
C  6      240.565A    0.285    0.2422
Ca B      240.565A    0.285    0.2422
#
C  6      242.937A    0.389    0.3080
Ca B      242.937A    0.389    0.3080
#
C  6      246.055A    0.504    0.4007
Ca B      246.055A    0.504    0.4007
#
C  6      250.279A    0.630    0.5362
Ca B      250.279A    0.630    0.5362
#
C  6      256.223A    0.771    0.7426
Ca B      256.223A    0.771    0.7426
#
C  6      265.022A    0.933    1.0766
Ca B      265.022A    0.933    1.0766
#
C  6      278.998A    1.120    1.6584
Ca B      278.998A    1.120    1.6584
#
C  6      303.672A    1.346    2.7859
Ca B      303.672A    1.346    2.7859
#
C  6      355.865A    1.629    5.3449
Ca B      355.865A    1.629    5.3449
#
C  6      416.464A   -0.748    0.0225
Ca B      416.464A   -0.748    0.0225
#
C  6      417.524A   -0.697    0.0252
Ca B      417.524A   -0.697    0.0252
#
C  6      418.738A   -0.644    0.0285
Ca B      418.738A   -0.644    0.0285
#
C  6      420.139A   -0.587    0.0325
Ca B      420.139A   -0.587    0.0325
#
C  6      421.766A   -0.526    0.0374
Ca B      421.766A   -0.526    0.0374
#
C  6      423.673A   -0.462    0.0434
Ca B      423.673A   -0.462    0.0434
#
C  6      425.929A   -0.393    0.0509
Ca B      425.929A   -0.393    0.0509
#
C  6      428.626A   -0.319    0.0603
Ca B      428.626A   -0.319    0.0603
#
C  6      431.889A   -0.241    0.0722
Ca B      431.889A   -0.241    0.0722
#
C  6      435.892A   -0.157    0.0876
Ca B      435.892A   -0.157    0.0876
#
C  6      440.886A   -0.066    0.1079
Ca B      440.886A   -0.066    0.1079
#
C  6      447.237A    0.032    0.1352
Ca B      447.237A    0.032    0.1352
#
C  6      455.507A    0.138    0.1729
Ca B      455.507A    0.138    0.1729
#
C  6      466.594A    0.256    0.2264
Ca B      466.594A    0.256    0.2264
#
C  6      482.018A    0.386    0.3055
Ca B      482.018A    0.386    0.3055
#
C  6      504.562A    0.532    0.4283
Ca B      504.562A    0.532    0.4283
#
C  6      520.580A    2.005   12.7024
Ca B      520.580A    2.005   12.7024
#
C  6      539.861A    0.700    0.6305
Ca B      539.861A    0.700    0.6305
#
C  6      601.208A    0.898    0.9932
Ca B      601.208A    0.898    0.9932
#
C  6      661.354A   -0.958    0.0138
Ca B      661.354A   -0.958    0.0138
#
C  6      664.031A   -0.906    0.0156
Ca B      664.031A   -0.906    0.0156
#
C  6      667.107A   -0.850    0.0177
Ca B      667.107A   -0.850    0.0177
#
C  6      670.669A   -0.791    0.0203
Ca B      670.669A   -0.791    0.0203
#
C  6      674.826A   -0.729    0.0234
Ca B      674.826A   -0.729    0.0234
#
C  6      679.721A   -0.663    0.0273
Ca B      679.721A   -0.663    0.0273
#
C  6      685.546A   -0.593    0.0321
Ca B      685.546A   -0.593    0.0321
#
C  6      692.559A   -0.518    0.0381
Ca B      692.559A   -0.518    0.0381
#
C  6      701.118A   -0.439    0.0458
Ca B      701.118A   -0.439    0.0458
#
C  6      711.730A   -0.353    0.0557
Ca B      711.730A   -0.353    0.0557
#
C  6      725.142A   -0.261    0.0689
Ca B      725.142A   -0.261    0.0689
#
C  6      728.812A    1.137    1.7229
Ca B      728.812A    1.137    1.7229
#
C  6      742.484A   -0.161    0.0867
Ca B      742.484A   -0.161    0.0867
#
C  6      765.559A   -0.052    0.1114
Ca B      765.559A   -0.052    0.1114
#
C  6      797.402A    0.068    0.1468
Ca B      797.402A    0.068    0.1468
#
C  6      843.532A    0.201    0.1998
Ca B      843.532A    0.201    0.1998
#
C  6      971.749A   -1.133    0.0093
Ca B      971.749A   -1.133    0.0093
#
C  6      977.539A   -1.079    0.0105
Ca B      977.539A   -1.079    0.0105
#
C  6      984.221A   -1.022    0.0119
Ca B      984.221A   -1.022    0.0119
#
C  6      991.994A   -0.962    0.0137
Ca B      991.994A   -0.962    0.0137
#
C  6      1001.12A   -0.899    0.0159
Ca B      1001.12A   -0.899    0.0159
#
C  6      1011.93A   -0.831    0.0185
Ca B      1011.93A   -0.831    0.0185
#
C  6      1024.89A   -0.760    0.0218
Ca B      1024.89A   -0.760    0.0218
#
C  6      1038.19A    0.527    0.4227
Ca B      1038.19A    0.527    0.4227
#
C  6      1040.65A   -0.684    0.0260
Ca B      1040.65A   -0.684    0.0260
#
C  6      1060.09A   -0.604    0.0313
Ca B      1060.09A   -0.604    0.0313
#
