H  1      3671.49A   -6.979    0.0049
Ca B      3671.49A   -6.979    0.0049
#
H  1      3673.78A   -6.937    0.0054
Ca B      3673.78A   -6.937    0.0054
#
H  1      3676.38A   -6.891    0.0060
Ca B      3676.38A   -6.891    0.0060
#
H  1      3679.37A   -6.842    0.0067
Ca B      3679.37A   -6.842    0.0067
#
H  1      3682.83A   -6.790    0.0076
Ca B      3682.83A   -6.790    0.0076
#
H  1      3686.85A   -6.734    0.0086
Ca B      3686.85A   -6.734    0.0086
#
H  1      3691.57A   -6.673    0.0099
Ca B      3691.57A   -6.673    0.0099
#
H  1      3697.17A   -6.608    0.0116
Ca B      3697.17A   -6.608    0.0116
#
H  1      3703.87A   -6.536    0.0136
Ca B      3703.87A   -6.536    0.0136
#
H  1      3711.99A   -6.459    0.0163
Ca B      3711.99A   -6.459    0.0163
#
H  1      3721.96A   -6.374    0.0198
Ca B      3721.96A   -6.374    0.0198
#
H  1      3734.39A   -6.281    0.0245
Ca B      3734.39A   -6.281    0.0245
#
H  1      3750.17A   -6.179    0.0310
Ca B      3750.17A   -6.179    0.0310
#
H  1      3770.65A   -6.066    0.0402
Ca B      3770.65A   -6.066    0.0402
#
H  1      3797.92A   -5.942    0.0536
Ca B      3797.92A   -5.942    0.0536
#
H  1      3835.40A   -5.803    0.0738
Ca B      3835.40A   -5.803    0.0738
#
H  1      3889.07A   -5.646    0.1059
Ca B      3889.07A   -5.646    0.1059
#
H  1      3970.09A   -5.466    0.1603
Ca B      3970.09A   -5.466    0.1603
#
H  1      4101.76A   -5.254    0.2611
Ca B      4101.76A   -5.254    0.2611
#
H  1      4340.49A   -4.997    0.4718
Ca B      4340.49A   -4.997    0.4718
#
H  1      4861.36A   -4.668    1.0057
Ca B      4861.36A   -4.668    1.0057
#
H  1      6562.85A   -4.214    2.8630
Ca B      6562.85A   -4.214    2.8630
#
H  1      8333.79A   -7.473    0.0016
Ca B      8333.79A   -7.473    0.0016
#
H  1      8345.56A   -7.428    0.0018
Ca B      8345.56A   -7.428    0.0018
#
H  1      8359.01A   -7.380    0.0020
Ca B      8359.01A   -7.380    0.0020
#
H  1      8374.49A   -7.329    0.0022
Ca B      8374.49A   -7.329    0.0022
#
H  1      8392.41A   -7.274    0.0025
Ca B      8392.41A   -7.274    0.0025
#
H  1      8413.33A   -7.215    0.0029
Ca B      8413.33A   -7.215    0.0029
#
H  1      8437.97A   -7.152    0.0033
Ca B      8437.97A   -7.152    0.0033
#
H  1      8467.26A   -7.083    0.0039
Ca B      8467.26A   -7.083    0.0039
#
H  1      8502.49A   -7.009    0.0046
Ca B      8502.49A   -7.009    0.0046
#
H  1      8545.39A   -6.928    0.0055
Ca B      8545.39A   -6.928    0.0055
#
H  1      8598.40A   -6.841    0.0068
Ca B      8598.40A   -6.841    0.0068
#
H  1      8665.03A   -6.745    0.0084
Ca B      8665.03A   -6.745    0.0084
#
H  1      8750.48A   -6.641    0.0107
Ca B      8750.48A   -6.641    0.0107
#
H  1      8862.80A   -6.528    0.0139
Ca B      8862.80A   -6.528    0.0139
#
H  1      9014.92A   -6.402    0.0185
Ca B      9014.92A   -6.402    0.0185
#
H  1      9229.03A   -6.263    0.0256
Ca B      9229.03A   -6.263    0.0256
#
H  1      9545.99A   -6.105    0.0367
Ca B      9545.99A   -6.105    0.0367
#
H  1      1.00494m   -5.925    0.0557
Ca B      1.00494m   -5.925    0.0557
#
H  1      1.09381m   -5.714    0.0906
Ca B      1.09381m   -5.714    0.0906
#
H  1      1.28181m   -5.458    0.1630
Ca B      1.28181m   -5.458    0.1630
#
H  1      1.50008m   -7.817    0.0007
