He 2      917.798A   -2.762    0.0143
Ca B      917.798A   -2.762    0.0143
#
He 2      918.368A   -2.707    0.0162
Ca B      918.368A   -2.707    0.0162
#
He 2      919.019A   -2.649    0.0185
Ca B      919.019A   -2.649    0.0185
#
He 2      919.767A   -2.589    0.0212
Ca B      919.767A   -2.589    0.0212
#
He 2      920.630A   -2.526    0.0245
Ca B      920.630A   -2.526    0.0245
#
He 2      921.636A   -2.459    0.0286
Ca B      921.636A   -2.459    0.0286
#
He 2      922.817A   -2.388    0.0337
Ca B      922.817A   -2.388    0.0337
#
He 2      924.216A   -2.313    0.0400
Ca B      924.216A   -2.313    0.0400
#
He 2      925.891A   -2.234    0.0481
Ca B      925.891A   -2.234    0.0481
#
He 2      927.920A   -2.149    0.0584
Ca B      927.920A   -2.149    0.0584
#
He 2      930.412A   -2.058    0.0720
Ca B      930.412A   -2.058    0.0720
#
He 2      933.519A   -1.961    0.0901
Ca B      933.519A   -1.961    0.0901
#
He 2      937.465A   -1.855    0.1150
Ca B      937.465A   -1.855    0.1150
#
He 2      942.584A   -1.740    0.1499
Ca B      942.584A   -1.740    0.1499
#
He 2      949.400A   -1.614    0.2006
Ca B      949.400A   -1.614    0.2006
#
He 2      958.771A   -1.473    0.2772
Ca B      958.771A   -1.473    0.2772
#
He 2      972.186A   -1.315    0.3988
Ca B      972.186A   -1.315    0.3988
#
He 2      992.440A   -1.134    0.6045
Ca B      992.440A   -1.134    0.6045
#
He 2      1025.35A   -0.923    0.9832
Ca B      1025.35A   -0.923    0.9832
#
He 2      1085.03A   -0.669    1.7661
Ca B      1085.03A   -0.669    1.7661
#
He 2      1215.23A   -0.347    3.7029
Ca B      1215.23A   -0.347    3.7029
#
He 2      1640.00A    0.087   10.0678
Ca B      1640.00A    0.087   10.0678
#
He 2      2082.59A   -3.269    0.0044
Ca B      2082.59A   -3.269    0.0044
#
He 2      2085.53A   -3.213    0.0050
Ca B      2085.53A   -3.213    0.0050
#
He 2      2088.90A   -3.155    0.0058
Ca B      2088.90A   -3.155    0.0058
#
He 2      2092.76A   -3.095    0.0066
Ca B      2092.76A   -3.095    0.0066
#
He 2      2097.24A   -3.031    0.0077
Ca B      2097.24A   -3.031    0.0077
#
