O  8      57.3176A    0.639    0.0269
Ca B      57.3176A    0.639    0.0269
#
O  8      57.3532A    0.691    0.0302
Ca B      57.3532A    0.691    0.0302
#
O  8      57.3939A    0.745    0.0342
Ca B      57.3939A    0.745    0.0342
#
O  8      57.4406A    0.802    0.0391
Ca B      57.4406A    0.802    0.0391
#
O  8      57.4945A    0.863    0.0449
Ca B      57.4945A    0.863    0.0449
#
O  8      57.5573A    0.926    0.0520
Ca B      57.5573A    0.926    0.0520
#
O  8      57.6310A    0.993    0.0607
Ca B      57.6310A    0.993    0.0607
#
O  8      57.7184A    1.065    0.0715
Ca B      57.7184A    1.065    0.0715
#
O  8      57.8230A    1.141    0.0852
Ca B      57.8230A    1.141    0.0852
#
O  8      57.9498A    1.222    0.1026
Ca B      57.9498A    1.222    0.1026
#
O  8      58.1054A    1.309    0.1254
Ca B      58.1054A    1.309    0.1254
#
O  8      58.2994A    1.402    0.1555
Ca B      58.2994A    1.402    0.1555
#
O  8      58.5458A    1.504    0.1965
Ca B      58.5458A    1.504    0.1965
#
O  8      58.8655A    1.615    0.2538
Ca B      58.8655A    1.615    0.2538
#
O  8      59.2912A    1.737    0.3364
Ca B      59.2912A    1.737    0.3364
#
O  8      59.8764A    1.874    0.4614
Ca B      59.8764A    1.874    0.4614
#
O  8      60.7142A    2.030    0.6602
Ca B      60.7142A    2.030    0.6602
#
O  8      61.9791A    2.210    1.0000
Ca B      61.9791A    2.210    1.0000
#
O  8      64.0345A    2.426    1.6418
Ca B      64.0345A    2.426    1.6418
#
O  8      67.7614A    2.694    3.0457
Ca B      67.7614A    2.694    3.0457
#
O  8      75.8927A    3.053    6.9522
Ca B      75.8927A    3.053    6.9522
#
O  8      102.455A    3.593   24.1491
Ca B      102.455A    3.593   24.1491
#
O  8      130.102A    0.244    0.0108
Ca B      130.102A    0.244    0.0108
#
O  8      130.286A    0.297    0.0122
Ca B      130.286A    0.297    0.0122
#
O  8      130.496A    0.352    0.0138
Ca B      130.496A    0.352    0.0138
#
O  8      130.737A    0.410    0.0158
Ca B      130.737A    0.410    0.0158
#
O  8      131.017A    0.471    0.0182
Ca B      131.017A    0.471    0.0182
#
O  8      131.343A    0.536    0.0211
Ca B      131.343A    0.536    0.0211
#
O  8      131.728A    0.604    0.0247
Ca B      131.728A    0.604    0.0247
#
O  8      132.185A    0.676    0.0292
Ca B      132.185A    0.676    0.0292
#
O  8      132.735A    0.753    0.0349
Ca B      132.735A    0.753    0.0349
#
O  8      133.405A    0.836    0.0423
Ca B      133.405A    0.836    0.0423
#
O  8      134.233A    0.925    0.0518
Ca B      134.233A    0.925    0.0518
#
O  8      135.273A    1.021    0.0646
Ca B      135.273A    1.021    0.0646
#
O  8      136.607A    1.125    0.0821
Ca B      136.607A    1.125    0.0821
#
O  8      138.360A    1.239    0.1068
Ca B      138.360A    1.239    0.1068
#
O  8      140.735A    1.366    0.1431
Ca B      140.735A    1.366    0.1431
#
O  8      144.078A    1.509    0.1987
Ca B      144.078A    1.509    0.1987
#
O  8      149.026A    1.672    0.2893
Ca B      149.026A    1.672    0.2893
#
O  8      156.885A    1.863    0.4498
Ca B      156.885A    1.863    0.4498
#
O  8      170.759A    2.096    0.7689
Ca B      170.759A    2.096    0.7689
#
O  8      200.108A    2.395    1.5303
Ca B      200.108A    2.395    1.5303
#
O  8      234.183A   -0.003    0.0061
Ca B      234.183A   -0.003    0.0061
#
O  8      234.779A    0.050    0.0069
Ca B      234.779A    0.050    0.0069
#
