Te	Hydrogen	Helium	Lithium	Beryllium	Boron	Carbon	Nitrogen	Oxygen	Fluorine	Neon	Sodium	Magnesium	Aluminium	Silicon	Phosphorus	Sulphur	Chlorine	Argon	Potassium	Calcium	Scandium	Titanium	Vanadium	Chromium	Manganese	Iron	Cobalt	Nickel	Copper	Zinc
1.00e+04	4.36e-24	2.51e-28	4.43e-29	4.94e-29	4.40e-29	4.89e-29	4.36e-29	4.45e-29	5.31e-29	4.36e-29	4.37e-29	7.67e-29	5.49e-29	5.63e-29	9.56e-29	5.57e-29	7.01e-29	4.36e-29	4.37e-29	3.15e-28	2.59e-28	1.86e-28	5.72e-29	7.23e-29	8.45e-29	1.17e-28	9.22e-29	9.67e-29	4.50e-29	4.54e-29
1.58e+04	1.65e-22	1.17e-25	1.65e-27	1.88e-27	1.67e-27	1.66e-27	1.67e-27	1.66e-27	1.66e-27	1.65e-27	1.65e-27	1.80e-27	1.74e-27	1.69e-27	1.75e-27	1.75e-27	1.72e-27	1.66e-27	1.65e-27	1.85e-27	1.84e-27	2.13e-27	1.73e-27	1.70e-27	1.78e-27	1.81e-27	1.74e-27	1.75e-27	1.66e-27	1.69e-27
2.51e+04	7.43e-23	2.23e-23	7.43e-28	9.88e-28	9.11e-28	7.78e-28	7.75e-28	7.72e-28	7.54e-28	7.44e-28	7.43e-28	7.61e-28	1.07e-27	9.18e-28	8.76e-28	8.95e-28	8.19e-28	7.57e-28	7.44e-28	7.54e-28	7.96e-28	8.29e-28	7.78e-28	7.50e-28	7.57e-28	8.60e-28	8.52e-28	8.99e-28	7.59e-28	8.33e-28
3.98e+04	2.61e-23	4.57e-23	2.61e-28	2.75e-28	9.16e-28	3.91e-28	3.30e-28	3.34e-28	2.90e-28	2.62e-28	2.61e-28	2.63e-28	7.57e-28	7.89e-28	4.40e-28	4.87e-28	3.75e-28	3.25e-28	2.93e-28	2.65e-28	2.71e-28	2.86e-28	3.17e-28	2.85e-28	2.64e-28	4.55e-28	3.40e-28	3.07e-28	2.64e-28	2.76e-28
6.31e+04	1.19e-23	3.56e-22	1.19e-28	1.21e-28	5.35e-28	4.77e-28	3.17e-28	2.67e-28	1.75e-28	1.35e-28	1.22e-28	1.19e-28	1.59e-28	1.22e-27	7.25e-28	6.36e-28	2.56e-28	3.09e-28	2.13e-28	1.90e-28	1.33e-28	1.54e-28	1.29e-28	1.73e-28	1.20e-28	2.79e-28	1.42e-28	1.42e-28	1.20e-28	1.21e-28
1.00e+05	6.63e-24	6.09e-22	6.67e-29	6.65e-29	9.39e-29	6.75e-28	5.45e-28	3.50e-28	1.57e-28	1.43e-28	8.88e-29	6.89e-29	7.13e-29	4.64e-28	1.52e-27	1.21e-27	2.29e-28	4.48e-28	6.84e-28	3.81e-28	1.83e-28	1.33e-28	9.71e-29	9.18e-28	6.79e-29	2.21e-28	6.86e-29	6.90e-29	6.72e-29	6.70e-29
1.58e+05	4.33e-24	2.20e-22	4.44e-29	4.34e-29	4.69e-29	1.23e-28	7.74e-28	5.87e-28	3.74e-28	2.72e-28	1.69e-28	7.70e-29	5.33e-29	6.75e-29	2.69e-28	1.68e-27	5.01e-28	6.54e-28	1.66e-27	1.01e-27	3.48e-28	2.76e-28	2.32e-28	7.06e-28	6.18e-29	2.60e-28	4.58e-29	4.56e-29	4.55e-29	4.52e-29
2.51e+05	3.24e-24	9.63e-23	3.41e-29	3.41e-29	3.34e-29	4.10e-29	1.37e-28	7.50e-28	6.32e-28	4.67e-28	3.64e-28	1.78e-28	1.05e-28	5.57e-29	5.70e-29	1.90e-28	1.17e-27	7.66e-28	1.56e-27	1.90e-27	2.32e-28	6.94e-28	4.48e-28	6.99e-28	3.81e-28	5.58e-28	7.18e-29	3.94e-29	3.88e-29	3.80e-29
3.98e+05	2.69e-24	5.24e-23	2.76e-29	3.04e-29	2.87e-29	2.89e-29	3.69e-29	1.32e-28	6.52e-28	6.83e-28	5.35e-28	3.43e-28	2.71e-28	1.41e-28	7.51e-29	7.14e-29	1.62e-28	6.09e-28	1.29e-27	1.97e-27	5.29e-28	5.65e-28	9.17e-28	1.16e-27	1.14e-27	1.13e-27	7.09e-28	8.76e-29	4.21e-29	4.07e-29
6.31e+05	2.54e-24	3.30e-23	2.57e-29	2.75e-29	3.04e-29	2.80e-29	2.76e-29	3.84e-29	9.47e-29	4.39e-28	6.72e-28	5.49e-28	4.88e-28	3.67e-28	1.50e-28	1.46e-28	1.11e-28	1.50e-28	3.73e-28	1.21e-27	1.13e-27	6.99e-28	1.18e-27	1.62e-27	1.62e-27	1.66e-27	1.57e-27	3.40e-28	6.02e-29	5.92e-29
1.00e+06	2.65e-24	2.42e-23	2.66e-29	2.73e-29	3.04e-29	3.30e-29	3.01e-29	3.09e-29	3.83e-29	6.98e-29	2.08e-28	5.41e-28	5.83e-28	5.68e-28	2.94e-28	3.07e-28	1.80e-28	1.88e-28	1.96e-28	2.42e-28	4.79e-28	1.00e-27	1.19e-27	1.45e-27	1.73e-27	2.12e-27	1.82e-27	1.04e-27	9.71e-29	9.71e-29
1.58e+06	2.93e-24	2.08e-23	2.94e-29	2.97e-29	3.10e-29	3.46e-29	3.83e-29	3.64e-29	3.57e-29	3.97e-29	5.46e-29	1.05e-28	3.37e-28	5.49e-28	4.33e-28	4.80e-28	2.59e-28	3.23e-28	2.62e-28	2.19e-28	2.37e-28	3.41e-28	4.59e-28	7.05e-28	9.91e-28	1.95e-27	1.60e-27	1.76e-27	1.25e-28	1.28e-28
2.51e+06	3.36e-24	2.01e-23	3.37e-29	3.39e-29	3.45e-29	3.61e-29	4.02e-29	4.54e-29	4.49e-29	4.28e-29	4.45e-29	5.17e-29	7.87e-29	1.22e-28	2.81e-28	5.11e-28	2.72e-28	4.31e-28	2.58e-28	3.35e-28	2.60e-28	3.11e-28	2.55e-28	3.62e-28	5.22e-28	6.99e-28	8.43e-28	1.27e-27	1.87e-28	1.69e-28
3.98e+06	3.95e-24	2.11e-23	3.96e-29	3.97e-29	4.01e-29	4.09e-29	4.28e-29	4.69e-29	5.27e-29	5.48e-29	5.34e-29	5.34e-29	5.75e-29	6.15e-29	8.52e-29	3.01e-28	1.23e-28	3.59e-28	3.23e-28	4.35e-28	3.81e-28	2.87e-28	2.80e-28	3.12e-28	3.09e-28	4.24e-28	4.65e-28	5.18e-28	2.86e-28	4.90e-28
6.31e+06	4.73e-24	2.34e-23	4.74e-29	4.75e-29	4.77e-29	4.82e-29	4.92e-29	5.12e-29	5.47e-29	6.04e-29	6.51e-29	6.68e-29	6.61e-29	6.45e-29	6.97e-29	2.00e-28	6.29e-29	1.23e-28	1.66e-28	2.61e-28	3.35e-28	3.34e-28	3.20e-28	2.59e-28	2.36e-28	4.94e-28	5.14e-28	4.42e-28	1.38e-28	3.17e-28
1.00e+07	5.74e-24	2.68e-23	5.75e-29	5.76e-29	5.77e-29	5.81e-29	5.86e-29	5.97e-29	6.16e-29	6.47e-29	6.94e-29	7.55e-29	8.00e-29	8.05e-29	8.12e-29	1.60e-28	7.03e-29	9.21e-29	1.01e-28	1.12e-28	1.40e-28	1.86e-28	2.55e-28	2.49e-28	2.52e-28	5.25e-28	3.47e-28	4.46e-28	1.32e-28	1.95e-28
1.58e+07	7.03e-24	3.16e-23	7.04e-29	7.05e-29	7.06e-29	7.09e-29	7.13e-29	7.19e-29	7.30e-29	7.47e-29	7.74e-29	8.15e-29	8.67e-29	9.24e-29	9.68e-29	1.30e-28	9.26e-29	1.01e-28	1.03e-28	1.03e-28	1.09e-28	1.25e-28	1.54e-28	1.55e-28	1.76e-28	2.88e-28	2.28e-28	2.82e-28	1.43e-28	2.11e-28
2.51e+07	8.68e-24	3.78e-23	8.69e-29	8.70e-29	8.71e-29	8.73e-29	8.77e-29	8.82e-29	8.89e-29	9.00e-29	9.15e-29	9.39e-29	9.71e-29	1.02e-28	1.07e-28	1.17e-28	1.15e-28	1.20e-28	1.21e-28	1.21e-28	1.21e-28	1.28e-28	1.36e-28	1.38e-28	1.40e-28	1.75e-28	1.58e-28	1.84e-28	1.25e-28	1.83e-28
3.98e+07	1.08e-23	4.58e-23	1.08e-28	1.08e-28	1.08e-28	1.08e-28	1.09e-28	1.09e-28	1.10e-28	1.11e-28	1.12e-28	1.13e-28	1.15e-28	1.18e-28	1.21e-28	1.26e-28	1.30e-28	1.36e-28	1.40e-28	1.44e-28	1.45e-28	1.49e-28	1.51e-28	1.53e-28	1.52e-28	1.70e-28	1.56e-28	1.65e-28	1.41e-28	1.64e-28
6.31e+07	1.35e-23	5.60e-23	1.35e-28	1.35e-28	1.36e-28	1.36e-28	1.36e-28	1.37e-28	1.37e-28	1.38e-28	1.39e-28	1.40e-28	1.41e-28	1.43e-28	1.45e-28	1.48e-28	1.52e-28	1.56e-28	1.60e-28	1.65e-28	1.70e-28	1.75e-28	1.78e-28	1.81e-28	1.82e-28	1.94e-28	1.84e-28	1.87e-28	1.77e-28	1.86e-28
1.00e+08	1.71e-23	6.91e-23	1.71e-28	1.71e-28	1.71e-28	1.72e-28	1.72e-28	1.72e-28	1.73e-28	1.74e-28	1.74e-28	1.75e-28	1.77e-28	1.78e-28	1.80e-28	1.82e-28	1.84e-28	1.87e-28	1.91e-28	1.95e-28	1.99e-28	2.04e-28	2.09e-28	2.14e-28	2.18e-28	2.26e-28	2.24e-28	2.27e-28	2.25e-28	2.29e-28
1.58e+08	2.19e-23	8.58e-23	2.19e-28	2.19e-28	2.19e-28	2.20e-28	2.20e-28	2.20e-28	2.21e-28	2.22e-28	2.22e-28	2.23e-28	2.24e-28	2.26e-28	2.27e-28	2.29e-28	2.31e-28	2.34e-28	2.36e-28	2.40e-28	2.43e-28	2.47e-28	2.52e-28	2.56e-28	2.61e-28	2.68e-28	2.71e-28	2.76e-28	2.79e-28	2.83e-28
2.51e+08	2.85e-23	1.07e-22	2.85e-28	2.85e-28	2.85e-28	2.86e-28	2.86e-28	2.87e-28	2.87e-28	2.88e-28	2.89e-28	2.90e-28	2.91e-28	2.92e-28	2.94e-28	2.95e-28	2.97e-28	3.00e-28	3.02e-28	3.05e-28	3.08e-28	3.11e-28	3.15e-28	3.19e-28	3.24e-28	3.29e-28	3.34e-28	3.39e-28	3.44e-28	3.50e-28
3.98e+08	3.80e-23	1.36e-22	3.81e-28	3.81e-28	3.81e-28	3.82e-28	3.82e-28	3.83e-28	3.83e-28	3.84e-28	3.85e-28	3.86e-28	3.88e-28	3.89e-28	3.91e-28	3.92e-28	3.94e-28	3.96e-28	3.99e-28	4.02e-28	4.04e-28	4.08e-28	4.11e-28	4.15e-28	4.19e-28	4.24e-28	4.29e-28	4.34e-28	4.39e-28	4.45e-28
6.31e+08	5.30e-23	1.76e-22	5.30e-28	5.30e-28	5.31e-28	5.31e-28	5.32e-28	5.33e-28	5.34e-28	5.35e-28	5.36e-28	5.37e-28	5.39e-28	5.40e-28	5.42e-28	5.44e-28	5.46e-28	5.48e-28	5.51e-28	5.54e-28	5.57e-28	5.60e-28	5.64e-28	5.68e-28	5.72e-28	5.76e-28	5.81e-28	5.86e-28	5.92e-28	5.97e-28
1.00e+09	7.86e-23	2.35e-22	7.87e-28	7.87e-28	7.88e-28	7.89e-28	7.89e-28	7.90e-28	7.91e-28	7.93e-28	7.94e-28	7.96e-28	7.98e-28	8.00e-28	8.02e-28	8.04e-28	8.07e-28	8.09e-28	8.12e-28	8.15e-28	8.19e-28	8.23e-28	8.27e-28	8.31e-28	8.35e-28	8.40e-28	8.45e-28	8.51e-28	8.57e-28	8.63e-28
