log T	log cool/n2
1.00	-28.233
1.10	-28.056
1.20	-27.871
1.30	-27.684
1.40	-27.494
1.50	-27.312
1.60	-27.136
1.70	-26.963
1.80	-26.783
1.90	-26.582
2.00	-26.362
2.10	-26.135
2.20	-25.922
2.30	-25.734
2.40	-25.572
2.50	-25.437
2.60	-25.324
2.70	-25.228
2.80	-25.146
2.90	-25.072
3.00	-25.003
3.10	-24.941
3.20	-24.876
3.30	-24.805
3.40	-24.739
3.50	-24.664
3.60	-24.603
3.70	-24.545
3.80	-24.447
3.90	-24.274
4.00	-23.898
4.10	-23.115
4.20	-22.028
4.30	-21.828
4.40	-21.932
4.50	-21.923
4.60	-21.833
4.70	-21.691
4.80	-21.510
4.90	-21.339
5.00	-21.281
5.10	-21.305
5.20	-21.288
5.30	-21.273
5.40	-21.276
5.50	-21.451
5.60	-21.666
5.70	-21.719
5.80	-21.779
5.90	-21.814
6.00	-21.788
6.10	-21.800
6.20	-21.885
6.30	-22.071
6.40	-22.253
6.50	-22.387
6.60	-22.469
6.70	-22.501
6.80	-22.508
6.90	-22.504
7.00	-22.508
7.10	-22.554
7.20	-22.623
7.30	-22.662
7.40	-22.669
7.50	-22.655
7.60	-22.629
7.70	-22.595
7.80	-22.557
7.90	-22.516
8.00	-22.473
8.10	-22.429
8.20	-22.381
8.30	-22.332
8.40	-22.279
8.50	-22.222
8.60	-22.162
8.70	-22.098
8.80	-22.028
8.90	-21.951
9.00	-21.866
