hden	logU	logU/T	log T	Pgas
1.000e+00	6.523e+00	-5.992e-01	7.122e+00	4.225e-08
1.250e+00	6.273e+00	-8.491e-01	7.122e+00	7.512e-08
1.500e+00	6.023e+00	-1.099e+00	7.122e+00	1.336e-07
1.750e+00	5.773e+00	-1.349e+00	7.122e+00	2.374e-07
2.000e+00	5.523e+00	-1.599e+00	7.122e+00	4.220e-07
2.250e+00	5.273e+00	-1.848e+00	7.121e+00	7.496e-07
2.500e+00	5.023e+00	-2.097e+00	7.120e+00	1.331e-06
2.750e+00	4.773e+00	-2.346e+00	7.119e+00	2.358e-06
3.000e+00	4.523e+00	-2.593e+00	7.116e+00	4.169e-06
3.250e+00	4.273e+00	-2.839e+00	7.112e+00	7.338e-06
3.500e+00	4.023e+00	-3.081e+00	7.104e+00	1.281e-05
3.750e+00	3.773e+00	-3.317e+00	7.090e+00	2.205e-05
4.000e+00	3.523e+00	-3.542e+00	7.065e+00	3.701e-05
4.250e+00	3.273e+00	-3.747e+00	7.020e+00	5.940e-05
4.500e+00	3.023e+00	-3.919e+00	6.942e+00	8.817e-05
4.750e+00	2.773e+00	-4.031e+00	6.804e+00	1.142e-04
5.000e+00	2.523e+00	-4.044e+00	6.567e+00	1.176e-04
5.250e+00	2.273e+00	-3.927e+00	6.199e+00	8.978e-05
5.500e+00	2.023e+00	-3.960e+00	5.983e+00	9.688e-05
5.750e+00	1.773e+00	-3.954e+00	5.727e+00	9.557e-05
6.000e+00	1.523e+00	-3.830e+00	5.353e+00	7.189e-05
6.250e+00	1.273e+00	-3.917e+00	5.189e+00	8.768e-05
6.500e+00	1.023e+00	-4.041e+00	5.064e+00	1.169e-04
6.750e+00	7.729e-01	-4.117e+00	4.890e+00	1.390e-04
7.000e+00	5.229e-01	-4.209e+00	4.732e+00	1.719e-04
7.250e+00	2.729e-01	-4.342e+00	4.615e+00	2.334e-04
7.500e+00	2.290e-02	-4.501e+00	4.524e+00	3.364e-04
7.750e+00	-2.271e-01	-4.685e+00	4.458e+00	5.140e-04
8.000e+00	-4.771e-01	-4.891e+00	4.414e+00	8.256e-04
8.250e+00	-7.271e-01	-5.111e+00	4.384e+00	1.371e-03
8.500e+00	-9.771e-01	-5.338e+00	4.361e+00	2.310e-03
8.750e+00	-1.227e+00	-5.564e+00	4.337e+00	3.891e-03
9.000e+00	-1.477e+00	-5.788e+00	4.311e+00	6.501e-03
9.250e+00	-1.727e+00	-6.009e+00	4.282e+00	1.082e-02
9.500e+00	-1.977e+00	-6.235e+00	4.258e+00	1.816e-02
9.750e+00	-2.227e+00	-6.468e+00	4.241e+00	3.099e-02
1.000e+01	-2.477e+00	-6.707e+00	4.230e+00	5.353e-02
1.025e+01	-2.727e+00	-6.946e+00	4.219e+00	9.239e-02
1.050e+01	-2.977e+00	-7.177e+00	4.200e+00	1.558e-01
1.075e+01	-3.227e+00	-7.399e+00	4.172e+00	2.571e-01
1.100e+01	-3.477e+00	-7.615e+00	4.138e+00	4.199e-01
1.125e+01	-3.727e+00	-7.831e+00	4.104e+00	6.771e-01
1.150e+01	-3.977e+00	-8.051e+00	4.074e+00	1.105e+00
1.175e+01	-4.227e+00	-8.276e+00	4.049e+00	1.796e+00
1.200e+01	-4.477e+00	-8.507e+00	4.030e+00	2.923e+00
