density	temp	[O III] 5007	[O III] 4363	[O III] 1665	[O III] 88	[O III] 52	[O III] 1661
0.000e+00	3.50000	1.000e+00	5.173e-06	2.509e-08	2.351e+02	1.203e+02	6.386e-09
0.000e+00	3.70000	1.000e+00	2.442e-04	2.172e-05	8.111e+00	4.268e+00	5.528e-06
0.000e+00	3.90000	1.000e+00	2.779e-03	1.500e-03	9.423e-01	5.103e-01	3.818e-04
0.000e+00	4.10000	1.000e+00	1.281e-02	2.132e-02	2.411e-01	1.373e-01	5.427e-03
0.000e+00	4.30000	1.000e+00	3.347e-02	1.104e-01	1.034e-01	6.365e-02	2.811e-02
0.000e+00	4.50000	1.000e+00	6.043e-02	2.998e-01	6.255e-02	4.181e-02	7.632e-02
1.000e+00	3.50000	1.000e+00	5.173e-06	2.506e-08	2.226e+02	1.223e+02	6.380e-09
1.000e+00	3.70000	1.000e+00	2.442e-04	2.170e-05	7.755e+00	4.327e+00	5.524e-06
1.000e+00	3.90000	1.000e+00	2.779e-03	1.499e-03	9.078e-01	5.161e-01	3.816e-04
1.000e+00	4.10000	1.000e+00	1.281e-02	2.132e-02	2.336e-01	1.385e-01	5.426e-03
1.000e+00	4.30000	1.000e+00	3.348e-02	1.104e-01	1.007e-01	6.402e-02	2.811e-02
1.000e+00	4.50000	1.000e+00	6.043e-02	2.998e-01	6.110e-02	4.196e-02	7.632e-02
2.000e+00	3.50000	1.000e+00	5.177e-06	2.490e-08	1.425e+02	1.298e+02	6.339e-09
2.000e+00	3.70000	1.000e+00	2.444e-04	2.158e-05	5.321e+00	4.597e+00	5.494e-06
2.000e+00	3.90000	1.000e+00	2.780e-03	1.494e-03	6.580e-01	5.461e-01	3.803e-04
2.000e+00	4.10000	1.000e+00	1.282e-02	2.129e-02	1.768e-01	1.451e-01	5.421e-03
2.000e+00	4.30000	1.000e+00	3.349e-02	1.104e-01	7.897e-02	6.614e-02	2.811e-02
2.000e+00	4.50000	1.000e+00	6.046e-02	2.997e-01	4.939e-02	4.279e-02	7.630e-02
3.000e+00	3.50000	1.000e+00	5.209e-06	2.467e-08	2.433e+01	8.287e+01	6.280e-09
3.000e+00	3.70000	1.000e+00	2.458e-04	2.137e-05	1.041e+00	3.235e+00	5.440e-06
3.000e+00	3.90000	1.000e+00	2.791e-03	1.483e-03	1.459e-01	4.143e-01	3.775e-04
3.000e+00	4.10000	1.000e+00	1.288e-02	2.124e-02	4.383e-02	1.156e-01	5.407e-03
3.000e+00	4.30000	1.000e+00	3.361e-02	1.104e-01	2.168e-02	5.412e-02	2.811e-02
3.000e+00	4.50000	1.000e+00	6.068e-02	2.995e-01	1.490e-02	3.555e-02	7.623e-02
4.000e+00	3.50000	1.000e+00	5.519e-06	2.512e-08	1.882e+00	1.526e+01	6.394e-09
4.000e+00	3.70000	1.000e+00	2.587e-04	2.165e-05	8.058e-02	6.502e-01	5.511e-06
4.000e+00	3.90000	1.000e+00	2.920e-03	1.499e-03	1.142e-02	9.080e-02	3.815e-04
4.000e+00	4.10000	1.000e+00	1.339e-02	2.146e-02	3.483e-03	2.739e-02	5.462e-03
4.000e+00	4.30000	1.000e+00	3.469e-02	1.115e-01	1.753e-03	1.373e-02	2.837e-02
4.000e+00	4.50000	1.000e+00	6.227e-02	3.015e-01	1.231e-03	9.601e-03	7.676e-02
5.000e+00	3.50000	1.000e+00	8.599e-06	3.061e-08	2.103e-01	2.015e+00	7.793e-09
5.000e+00	3.70000	1.000e+00	3.865e-04	2.546e-05	8.550e-03	8.429e-02	6.481e-06
5.000e+00	3.90000	1.000e+00	4.205e-03	1.722e-03	1.164e-03	1.171e-02	4.383e-04
5.000e+00	4.10000	1.000e+00	1.842e-02	2.421e-02	3.425e-04	3.528e-03	6.161e-03
5.000e+00	4.30000	1.000e+00	4.531e-02	1.236e-01	1.662e-04	1.767e-03	3.146e-02
5.000e+00	4.50000	1.000e+00	7.754e-02	3.289e-01	1.125e-04	1.237e-03	8.371e-02
6.000e+00	3.50000	1.000e+00	3.762e-05	8.570e-08	5.827e-02	5.689e-01	2.181e-08
6.000e+00	3.70000	1.000e+00	1.599e-03	6.371e-05	2.113e-03	2.131e-02	1.622e-05
6.000e+00	3.90000	1.000e+00	1.647e-02	3.966e-03	2.645e-04	2.726e-03	1.010e-03
6.000e+00	4.10000	1.000e+00	6.677e-02	5.182e-02	7.241e-05	7.615e-04	1.319e-02
6.000e+00	4.30000	1.000e+00	1.481e-01	2.454e-01	3.269e-05	3.518e-04	6.247e-02
6.000e+00	4.50000	1.000e+00	2.263e-01	6.041e-01	2.052e-05	2.268e-04	1.538e-01
7.000e+00	3.50000	1.000e+00	2.179e-04	6.363e-07	4.324e-02	4.229e-01	1.620e-07
7.000e+00	3.70000	1.000e+00	9.473e-03	4.462e-04	1.479e-03	1.494e-02	1.136e-04
7.000e+00	3.90000	1.000e+00	9.937e-02	2.641e-02	1.761e-04	1.816e-03	6.724e-03
7.000e+00	4.10000	1.000e+00	4.108e-01	3.284e-01	4.599e-05	4.811e-04	8.360e-02
7.000e+00	4.30000	1.000e+00	9.237e-01	1.468e+00	1.971e-05	2.085e-04	3.737e-01
7.000e+00	4.50000	1.000e+00	1.411e+00	3.373e+00	1.163e-05	1.244e-04	8.586e-01
