density	[OII] 3726	[O II] 3729	[O II] 2471	[O II] 7323	[O II] 7332
-1	1.000000e+00	1.500107e+00	2.415927e-02	1.547431e-02	8.328628e-03
-0.5	1.000000e+00	1.499718e+00	2.416357e-02	1.547707e-02	8.330111e-03
0	1.000000e+00	1.498489e+00	2.417717e-02	1.548578e-02	8.334798e-03
0.5	1.000000e+00	1.494619e+00	2.422010e-02	1.551328e-02	8.349598e-03
1	1.000000e+00	1.482557e+00	2.435518e-02	1.559980e-02	8.396166e-03
1.5	1.000000e+00	1.446068e+00	2.477588e-02	1.586926e-02	8.541198e-03
2	1.000000e+00	1.345022e+00	2.605028e-02	1.668553e-02	8.980533e-03
2.5	1.000000e+00	1.122204e+00	2.970278e-02	1.902500e-02	1.023969e-02
3	1.000000e+00	8.080638e-01	3.972800e-02	2.544628e-02	1.369577e-02
3.5	1.000000e+00	5.613679e-01	6.850289e-02	4.387697e-02	2.361558e-02
4	1.000000e+00	4.421190e-01	1.567776e-01	1.004180e-01	5.404725e-02
4.5	1.000000e+00	3.978580e-01	4.332240e-01	2.774854e-01	1.493490e-01
5	1.000000e+00	3.831323e-01	1.293089e+00	8.282400e-01	4.457776e-01
5.5	1.000000e+00	3.785441e-01	3.879862e+00	2.485101e+00	1.337538e+00
6	1.000000e+00	3.774552e-01	1.091898e+01	6.993743e+00	3.764191e+00
6.5	1.000000e+00	3.777347e-01	2.570963e+01	1.646734e+01	8.863097e+00
7	1.000000e+00	3.783905e-01	4.476599e+01	2.867318e+01	1.543256e+01
7.5	1.000000e+00	3.788423e-01	5.832503e+01	3.735792e+01	2.010688e+01
